broadcast window	The broadcast window begins at 6:30pm ET and ends once the network goes to another show after the award ceremony.
completed years of NFL experience	The number appearing in the "Experience" column of a player's row on, for instance, https://www.nfl.com/teams/kansas-city-chiefs/roster. "R" (for "Rookie") is considered to be equal to 0 completed years of NFL experience.
factor	0 is defined as having no factors; a factor of a positive integer x is any positive integer m for which there exists a positive integer n such that x = m * n. For example, the factors of 6 are 1, 2, 3, and 6; the factors of 11 are 1 and 11; the factors of 16 are 1, 2, 4, 8, and 16.
Fibonacci number	For F(0) = 0, F(1) = 1, and F(n) = F(n - 1) + F(n - 2), a Fibonacci number is a non-negative integer x such that x = F(n) for some non-negative integer value of n. The first ten Fibonacci numbers in sequence are: 0, 1, 1, 2, 3, 5, 8, 13, 21, and 34.
first downs made	The initial play of a drive is not considered to be a "first down made".
game	The game begins at the opening kickoff and ends the moment the score is declared final.
game clock	The game clock is the quarter-by-quarter clock that starts at "15:00" and ticks down to "0:00".
line-score poker hand	At the end of the game, each team will have a line score comprised of the number of points they scored in the first quarter, then the second quarter, third quarter, fourth quarter, any overtime periods, and finally their final score. Using Super Bowl LIV as an example (https://www.nfl.com/games/49ers-at-chiefs-2019-post-4), Kansas City's line score was "7 3 0 21 31" and San Francisco's was "3 7 10 0 20". Using the digits of the line score, you create the best five-card poker hand possible. In Kansas City's case, that would be two pair: "3 3 1 1 7"; in San Francisco's case, it's three-of-a-kind: "0 0 0 7 3". Three-of-a-kind being the best hand that either team had, this bet would have resolved to "Three-of-a-kind or worse" for Super Bowl LIV. 0s can be either high or low for straights but "9 0 1 2 3" is not a straight (no wrap-arounds)
listed college	The name of the college appearing in the "College" column of a player's row on, for instance, https://www.nfl.com/teams/kansas-city-chiefs/roster.
octopus	An octopus is when a player scores at least one touchdown and one two-point conversion. Passing touchdowns and passing two-point conversions do not count.
prime number	A prime number is a positive integer x greater than 1 whose only positive integer factors are 1 and itself; the first ten prime numbers are 2, 3, 5, 7, 11, 13, 17, 19, 23, and 29.
Sunday EPL games	On Super Bowl Sunday, there are two English Premier League games that will be played: West Ham/Arsenal and Aston Villa/Manchester United.
touchdown scorer	A touchdown scorer is the player who is in control of the ball in when a touchdown is scored. The main distinction to note is that a quarterback who throws a touchdown pass is not considered the touchdown scorer, the player who received the pass is.
yards from scrimmage	A player's yards from scrimmage is defined as the sum of his rushing and receiving yards.
